,MAS_S,MAS_O,MAS_D,MAS_M,PD,METACOG
49599,4.5,2.0,0.5,3.0,30.0,10.0
49600,3.5,3.5,1.5,4.0,25.0,12.5
49601,5.5,2.0,1.5,1.0,41.0,10.0
49602,3.5,2.5,1.0,4.0,37.0,11.0
49603,4.0,3.0,1.0,1.0,42.0,9.0
49604,4.0,2.5,1.0,3.5,30.0,11.0
49605,3.5,2.5,0.0,1.5,44.0,7.5
49606,5.0,3.5,0.0,1.0,31.0,9.5
49607,3.5,3.0,1.0,3.0,45.0,10.5
49608,5.5,3.5,0.5,1.0,44.0,10.5
49609,3.0,2.0,0.0,1.5,24.0,6.5
49610,5.5,3.0,1.0,2.0,34.0,11.5
49611,3.0,3.0,0.0,3.5,48.0,9.5
49612,5.0,2.0,0.0,2.0,44.0,9.0
49613,4.0,2.0,1.5,3.0,24.0,10.5
49614,5.5,2.5,1.0,1.5,31.0,10.5
49615,3.0,3.0,0.0,4.0,37.0,10.0
49616,5.5,2.0,1.0,3.5,40.0,12.0
49617,5.5,2.0,1.0,2.0,42.0,10.5
49618,4.0,3.0,0.0,1.0,23.0,8.0
49619,4.5,2.5,1.5,3.5,39.0,12.0
49620,4.5,3.0,0.5,2.0,39.0,10.0
49621,4.0,2.5,1.0,1.0,36.0,8.5
49622,3.5,3.5,0.5,2.0,50.0,9.5
49623,5.0,3.5,0.5,4.0,32.0,13.0
49624,3.5,2.5,0.5,2.5,46.0,9.0
49625,5.0,3.5,0.5,3.0,46.0,12.0
49626,4.0,3.0,1.5,3.5,28.0,12.0
49627,3.0,2.5,0.0,1.0,30.0,6.5
49628,4.5,2.0,0.5,2.0,39.0,9.0
49629,3.5,2.0,1.5,1.5,26.0,8.5
49630,5.5,2.5,1.0,4.0,34.0,13.0
49631,5.5,2.5,1.0,2.5,38.0,11.5
49632,3.5,3.0,0.5,2.5,29.0,9.5
49633,5.5,2.5,0.0,3.0,44.0,11.0
49634,5.0,3.0,0.5,3.0,39.0,11.5
49635,4.5,3.0,1.0,3.5,26.0,12.0
49636,4.0,2.0,1.0,2.5,29.0,9.5
49637,4.5,2.5,0.0,3.0,29.0,10.0
49638,4.0,2.5,1.0,2.5,37.0,10.0
49639,5.5,2.0,0.5,4.0,48.0,12.0
49640,3.0,3.0,0.0,3.0,43.0,9.0
49641,4.5,3.0,0.0,1.0,29.0,8.5
49642,5.5,2.5,1.0,2.5,36.0,11.5
49643,4.5,2.5,0.0,2.5,27.0,9.5
49644,3.5,3.5,1.0,1.0,43.0,9.0
49645,3.5,2.5,1.5,1.0,49.0,8.5
49646,4.5,3.0,0.5,4.0,44.0,12.0
49647,5.0,3.0,0.5,3.0,48.0,11.5
49648,3.0,2.0,1.5,3.0,44.0,9.5
49649,5.5,3.5,0.5,3.5,48.0,13.0
49650,3.5,3.0,1.0,4.0,25.0,11.5
49651,4.5,3.5,0.5,2.5,42.0,11.0
49652,5.0,3.5,1.5,1.0,47.0,11.0
49653,5.0,2.0,0.0,2.0,30.0,9.0
49654,3.0,3.5,1.5,1.0,28.0,9.0
49655,3.0,3.5,1.0,3.5,28.0,11.0
49656,4.0,3.5,0.5,2.0,29.0,10.0
49657,3.0,2.0,0.5,2.5,49.0,8.0
49658,4.5,3.0,0.5,1.0,37.0,9.0
49659,3.0,2.0,0.0,3.5,32.0,8.5
49660,3.0,2.0,0.0,1.0,23.0,6.0
49661,5.5,3.0,1.5,1.0,40.0,11.0
49662,3.5,2.0,1.5,3.5,42.0,10.5
49663,4.0,2.0,1.0,2.5,26.0,9.5
49664,4.0,3.0,0.5,2.0,25.0,9.5
49665,3.0,3.0,1.5,1.0,28.0,8.5
49666,3.5,2.0,1.5,3.0,50.0,10.0
49667,5.5,3.0,0.5,2.5,39.0,11.5
49668,3.0,2.5,0.5,3.0,32.0,9.0
49669,3.0,2.0,1.0,3.0,33.0,9.0
49670,4.0,3.0,0.5,2.0,42.0,9.5
49671,5.5,3.0,0.5,1.5,23.0,10.5
49672,5.0,2.5,1.5,2.5,41.0,11.5
49673,3.5,3.0,0.5,3.0,46.0,10.0
49674,3.0,3.0,0.0,1.0,27.0,7.0
49675,5.5,2.5,1.5,1.5,32.0,11.0
49676,5.5,2.0,0.5,1.0,26.0,9.0
49677,4.5,3.5,1.5,2.5,36.0,12.0
49678,4.0,2.0,1.0,1.0,28.0,8.0
49679,5.5,2.0,0.5,1.0,47.0,9.0
49680,5.5,2.5,0.5,1.5,29.0,10.0
49681,3.0,2.0,0.5,2.5,37.0,8.0
49682,4.0,2.0,1.0,4.0,28.0,11.0
49683,3.5,3.0,0.0,1.0,37.0,7.5
49684,4.5,2.0,0.0,3.0,23.0,9.5
49685,4.0,3.5,1.0,4.0,46.0,12.5
49686,3.0,2.5,1.5,2.0,25.0,9.0
49687,4.5,3.0,0.5,3.0,41.0,11.0
49688,5.0,2.0,0.5,3.5,25.0,11.0
49689,4.5,3.0,1.5,1.0,41.0,10.0
49690,3.0,3.5,0.5,2.0,25.0,9.0
49691,3.5,2.5,1.0,2.0,40.0,9.0
49692,4.5,2.0,1.0,2.5,38.0,10.0
49693,3.0,2.5,0.5,3.5,35.0,9.5
49694,3.0,3.0,1.0,3.0,48.0,10.0
49695,5.5,2.5,1.0,3.5,42.0,12.5
49696,4.0,2.5,1.5,4.0,26.0,12.0
49697,3.0,3.0,1.0,1.0,50.0,8.0
49698,5.0,3.5,0.0,4.0,40.0,12.5
49699,5.0,3.0,0.5,3.5,32.0,12.0
49700,5.5,2.0,0.5,3.0,38.0,11.0
49701,4.5,3.0,1.5,4.0,32.0,13.0
49702,4.5,2.5,0.0,4.0,30.0,11.0
49703,5.0,3.0,1.5,3.5,42.0,13.0
49704,3.5,3.0,1.5,3.5,42.0,11.5
49705,3.5,3.0,1.5,2.5,24.0,10.5
49706,4.5,2.0,0.5,2.0,48.0,9.0
49707,5.0,2.5,0.5,1.5,34.0,9.5
49708,4.0,3.0,1.5,1.5,30.0,10.0
49709,5.5,2.0,1.5,1.5,49.0,10.5
49710,4.5,2.5,1.5,2.5,40.0,11.0
49711,5.5,3.0,0.0,2.5,24.0,11.0
49712,5.5,3.5,0.0,2.0,43.0,11.0
49713,5.5,3.0,0.5,4.0,23.0,13.0
49714,4.5,3.0,1.5,1.5,30.0,10.5
49715,3.0,3.0,1.0,2.0,32.0,9.0
49716,4.5,2.5,1.5,3.0,29.0,11.5
49717,4.0,2.0,0.5,1.0,34.0,7.5
49718,5.5,2.0,0.5,3.5,46.0,11.5
49719,5.5,2.0,1.5,1.5,26.0,10.5
49720,3.5,3.0,0.0,1.0,28.0,7.5
49721,4.0,2.0,1.5,4.0,42.0,11.5
49722,4.0,2.0,0.5,2.0,34.0,8.5
49723,3.0,2.0,0.5,2.5,23.0,8.0
49724,5.5,3.0,0.0,3.0,31.0,11.5
49725,3.5,3.0,0.5,3.5,39.0,10.5
49726,4.0,3.0,1.0,1.5,48.0,9.5
49727,4.0,3.5,1.0,3.5,50.0,12.0
49728,5.0,2.0,0.5,2.5,41.0,10.0
49729,3.0,3.5,0.5,2.5,46.0,9.5
49730,3.0,3.0,1.5,3.0,47.0,10.5
49731,5.5,3.5,0.5,3.0,50.0,12.5
49732,4.0,2.0,0.0,1.5,40.0,7.5
49733,3.0,3.5,0.5,4.0,36.0,11.0
49734,4.0,2.0,0.0,2.0,23.0,8.0
49735,5.0,2.0,1.5,3.0,33.0,11.5
49736,4.5,2.5,1.5,1.5,47.0,10.0
49737,3.0,3.5,0.0,2.5,45.0,9.0
49738,3.0,3.0,0.0,1.0,46.0,7.0
49739,3.5,2.5,0.0,4.0,32.0,10.0
49740,5.5,3.0,0.0,1.5,34.0,10.0
49741,5.5,2.0,0.5,1.5,49.0,9.5
49742,5.5,2.0,1.5,3.0,46.0,12.0
49743,3.0,3.5,1.5,2.5,36.0,10.5
49744,3.5,2.5,0.0,3.0,39.0,9.0
49745,3.5,3.5,0.0,1.5,28.0,8.5
49746,5.0,3.5,0.5,2.0,49.0,11.0
49747,3.5,2.0,1.0,1.5,29.0,8.0
49748,5.0,3.0,1.5,2.0,38.0,11.5
49749,3.5,3.0,0.5,1.0,31.0,8.0
49750,5.5,2.0,0.5,2.0,48.0,10.0
49751,3.0,3.0,0.0,1.5,29.0,7.5
49752,5.5,3.0,0.5,1.0,33.0,10.0
49753,5.0,2.0,0.0,2.5,44.0,9.5
49754,5.0,3.0,0.5,2.0,42.0,10.5
49755,3.5,3.0,1.0,4.0,46.0,11.5
49756,5.5,3.5,0.5,1.5,38.0,11.0
49757,4.5,2.5,1.5,1.0,33.0,9.5
49758,4.0,2.5,0.0,3.5,38.0,10.0
49759,5.0,3.0,0.0,1.0,45.0,9.0
49760,3.5,3.5,0.5,2.5,39.0,10.0
49761,5.5,2.5,1.0,2.5,39.0,11.5
49762,5.5,2.5,0.5,2.0,42.0,10.5
49763,3.0,2.5,0.0,3.0,48.0,8.5
49764,3.5,3.5,0.0,4.0,40.0,11.0
49765,4.5,3.0,0.5,1.5,43.0,9.5
49766,5.5,2.5,0.0,2.5,44.0,10.5
49767,5.0,2.0,1.0,3.5,47.0,11.5
49768,5.5,2.0,1.0,4.0,34.0,12.5
49769,3.0,2.0,0.5,3.5,37.0,9.0
49770,5.0,3.0,1.5,2.0,33.0,11.5
49771,3.5,3.0,1.0,1.0,35.0,8.5
49772,3.5,3.0,1.0,3.5,42.0,11.0
49773,3.5,3.0,0.0,3.5,27.0,10.0
49774,3.5,2.5,0.5,3.0,25.0,9.5
49775,3.5,3.5,0.5,1.5,47.0,9.0
49776,4.0,3.5,1.5,2.5,24.0,11.5
49777,4.0,2.5,1.0,1.5,31.0,9.0
49778,3.0,3.5,0.0,1.5,44.0,8.0
49779,3.0,2.5,1.0,2.0,46.0,8.5
49780,3.5,3.5,0.0,3.0,39.0,10.0
49781,5.0,2.5,1.0,1.0,27.0,9.5
49782,4.5,2.0,0.0,3.0,43.0,9.5
49783,5.5,2.5,0.0,1.5,34.0,9.5
49784,3.0,3.0,1.5,1.5,41.0,9.0
49785,4.5,3.0,1.5,1.5,34.0,10.5
49786,4.5,2.5,1.5,4.0,40.0,12.5
49787,4.0,3.0,1.0,4.0,27.0,12.0
49788,5.0,2.5,0.5,1.0,36.0,9.0
49789,5.5,3.0,0.0,3.0,37.0,11.5
49790,3.5,2.0,0.0,3.0,28.0,8.5
49791,4.0,2.0,0.0,1.5,25.0,7.5
49792,3.0,3.5,1.5,3.5,25.0,11.5
49793,3.0,2.0,1.0,1.0,46.0,7.0
49794,4.5,3.5,1.0,3.5,29.0,12.5
49795,5.5,2.0,1.5,1.0,49.0,10.0
49796,4.5,3.0,0.0,1.5,41.0,9.0
49797,3.0,2.0,0.5,2.0,27.0,7.5
49798,4.5,2.0,1.5,3.5,40.0,11.5
49799,3.5,3.5,0.0,2.0,41.0,9.0
49800,5.5,2.5,1.5,2.0,46.0,11.5
49801,5.5,2.0,0.0,1.5,31.0,9.0
49802,5.5,3.0,0.0,3.5,37.0,12.0
49803,5.5,2.5,1.0,4.0,34.0,13.0
49804,5.0,2.0,0.0,2.0,29.0,9.0
49805,5.0,3.0,0.5,3.0,46.0,11.5
49806,3.5,3.0,0.5,4.0,37.0,11.0
49807,5.0,3.5,1.5,4.0,36.0,14.0
49808,4.0,2.0,1.0,4.0,29.0,11.0
49809,3.5,2.5,1.5,3.5,50.0,11.0
49810,3.0,2.5,1.0,2.0,34.0,8.5
49811,5.5,2.5,1.5,4.0,37.0,13.5
49812,5.0,3.5,0.0,2.0,26.0,10.5
49813,3.5,2.0,1.0,4.0,31.0,10.5
49814,4.5,2.5,1.0,3.5,42.0,11.5
49815,5.5,3.0,0.0,3.0,40.0,11.5
49816,3.5,3.0,0.0,4.0,25.0,10.5
49817,3.5,3.0,1.5,3.0,43.0,11.0
49818,4.0,3.5,1.0,1.0,47.0,9.5
49819,3.0,3.5,1.5,1.0,35.0,9.0
49820,5.0,2.5,0.0,2.5,26.0,10.0
49821,3.5,3.5,1.0,3.5,38.0,11.5
49822,4.5,3.0,0.0,1.5,37.0,9.0
49823,3.5,2.5,1.5,1.5,36.0,9.0
49824,5.0,3.5,1.5,3.0,41.0,13.0
49825,5.5,2.0,0.5,3.5,34.0,11.5
49826,4.5,2.5,1.5,3.5,39.0,12.0
49827,5.0,3.5,0.0,3.0,33.0,11.5
49828,3.5,3.0,1.5,4.0,23.0,12.0
49829,3.0,3.0,0.0,2.0,48.0,8.0
49830,5.0,3.5,1.0,1.5,26.0,11.0
49831,3.0,3.5,0.5,2.0,23.0,9.0
49832,5.0,2.0,1.0,3.0,45.0,11.0
49833,3.0,2.0,1.0,3.5,47.0,9.5
49834,4.0,2.0,1.5,2.5,27.0,10.0
49835,3.0,2.5,0.0,2.0,47.0,7.5
49836,3.0,2.5,0.0,1.0,29.0,6.5
49837,4.5,3.5,0.5,3.5,31.0,12.0
49838,3.5,2.0,0.0,2.0,31.0,7.5
49839,5.0,2.5,0.0,2.0,23.0,9.5
49840,3.0,2.0,1.0,1.5,24.0,7.5
49841,3.5,2.0,1.5,3.0,34.0,10.0
49842,4.0,3.5,1.5,2.5,45.0,11.5
49843,4.0,3.5,0.5,3.5,30.0,11.5
49844,3.0,3.5,1.0,1.5,29.0,9.0
49845,5.5,3.5,1.0,3.5,48.0,13.5
49846,3.5,3.0,1.0,4.0,23.0,11.5
49847,4.0,2.0,1.5,2.0,24.0,9.5
49848,5.0,3.5,1.5,2.5,25.0,12.5
49849,4.5,2.0,0.5,3.5,44.0,10.5
49850,4.0,2.0,0.5,3.5,47.0,10.0
49851,3.5,3.0,0.5,4.0,24.0,11.0
49852,4.5,3.5,0.0,3.0,27.0,11.0
49853,3.5,2.0,0.0,3.0,47.0,8.5
49854,5.5,2.0,0.0,2.5,42.0,10.0
49855,4.5,2.5,1.0,4.0,26.0,12.0
49856,4.0,2.5,1.0,1.5,32.0,9.0
49857,4.5,2.0,1.0,1.5,46.0,9.0
49858,5.0,3.0,1.0,1.5,45.0,10.5
49859,4.5,3.5,0.5,2.5,32.0,11.0
49860,5.0,3.5,0.5,4.0,24.0,13.0
49861,3.0,2.5,1.0,3.5,29.0,10.0
49862,5.0,3.0,0.0,4.0,40.0,12.0
49863,3.0,2.0,0.0,3.5,48.0,8.5
49864,3.0,2.5,0.0,2.0,40.0,7.5
49865,4.5,3.5,0.0,2.0,33.0,10.0
49866,4.5,2.5,1.5,3.0,35.0,11.5
49867,3.0,2.0,1.5,2.5,25.0,9.0
49868,4.0,2.5,1.5,1.5,32.0,9.5
49869,4.0,3.0,1.0,3.0,32.0,11.0
49870,3.5,3.5,1.0,1.5,50.0,9.5
49871,4.5,3.0,1.5,4.0,28.0,13.0
49872,4.5,3.5,0.5,1.0,44.0,9.5
49873,5.5,3.5,1.5,2.5,32.0,13.0
49874,4.0,3.0,1.5,3.5,48.0,12.0
49875,4.5,2.5,0.0,3.0,46.0,10.0
49876,5.0,3.5,0.0,1.5,33.0,10.0
49877,5.0,2.0,1.5,1.5,26.0,10.0
49878,5.0,3.0,1.5,1.5,42.0,11.0
49879,4.0,2.0,1.5,2.5,24.0,10.0
49880,5.0,3.5,1.5,1.0,34.0,11.0
49881,4.0,2.5,1.0,3.0,43.0,10.5
49882,3.0,3.5,0.5,3.5,38.0,10.5
49883,3.0,2.5,0.0,2.5,43.0,8.0
49884,5.5,3.5,0.5,2.0,43.0,11.5
49885,3.0,3.5,1.0,1.5,34.0,9.0
49886,3.5,3.0,1.5,2.5,28.0,10.5
49887,4.0,3.0,0.0,3.0,40.0,10.0
49888,5.5,2.0,1.0,2.0,34.0,10.5
49889,3.5,2.5,1.0,3.5,30.0,10.5
49890,3.0,2.0,1.0,1.5,41.0,7.5
49891,3.5,3.0,0.5,4.0,46.0,11.0
49892,5.0,3.0,1.0,2.5,25.0,11.5
49893,3.5,3.0,1.0,1.0,38.0,8.5
49894,4.0,2.0,1.0,4.0,42.0,11.0
49895,3.5,3.0,1.5,2.0,50.0,10.0
49896,3.0,2.5,1.0,3.5,45.0,10.0
49897,3.5,3.5,0.0,4.0,35.0,11.0
49898,4.0,2.0,1.0,3.0,49.0,10.0
49899,5.0,2.5,1.0,3.5,48.0,12.0
49900,3.5,3.0,0.5,3.5,50.0,10.5
49901,5.5,2.0,0.5,3.0,50.0,11.0
49902,4.0,2.5,1.5,3.5,49.0,11.5
49903,3.5,3.0,0.5,3.5,42.0,10.5
49904,5.0,3.0,0.0,1.5,50.0,9.5
49905,4.0,3.0,1.5,1.5,42.0,10.0
49906,5.0,3.5,1.5,1.5,36.0,11.5
49907,3.0,2.0,0.0,1.5,24.0,6.5
49908,5.5,3.5,1.5,4.0,38.0,14.5
49909,5.5,2.5,1.5,2.0,23.0,11.5
49910,3.0,2.0,0.5,3.0,46.0,8.5
49911,5.0,2.5,1.0,2.0,37.0,10.5
49912,3.5,3.0,1.5,1.0,29.0,9.0
49913,3.5,3.0,1.5,2.0,47.0,10.0
49914,3.5,2.0,1.0,3.5,26.0,10.0
49915,4.0,2.0,0.5,3.5,28.0,10.0
49916,5.5,2.5,1.0,2.0,48.0,11.0
49917,5.5,3.5,1.5,2.5,39.0,13.0
49918,5.0,3.5,0.5,2.0,29.0,11.0
49919,5.0,2.0,1.0,4.0,34.0,12.0
49920,3.0,2.5,0.5,1.5,29.0,7.5
49921,5.5,3.5,1.5,3.0,29.0,13.5
49922,5.0,3.5,1.5,2.0,37.0,12.0
49923,4.0,3.0,1.5,1.5,34.0,10.0
49924,4.0,2.5,0.0,4.0,43.0,10.5
49925,4.5,2.5,0.5,1.0,44.0,8.5
49926,3.0,3.5,1.0,3.0,26.0,10.5
49927,3.5,3.5,0.0,4.0,32.0,11.0
49928,4.5,2.0,0.0,2.5,36.0,9.0
49929,4.0,2.5,1.0,2.0,38.0,9.5
49930,5.0,2.0,1.0,4.0,49.0,12.0
49931,5.5,2.0,0.5,3.5,43.0,11.5
49932,3.0,3.0,1.5,1.5,47.0,9.0
49933,3.0,3.5,1.5,2.0,48.0,10.0
49934,5.0,3.0,1.5,2.5,41.0,12.0
49935,3.0,2.5,1.5,3.5,29.0,10.5
49936,4.0,2.0,1.5,2.0,25.0,9.5
49937,5.0,2.0,0.5,2.5,46.0,10.0
49938,5.5,3.5,1.5,1.5,27.0,12.0
49939,3.0,3.0,0.5,3.5,38.0,10.0
49940,3.0,2.5,0.0,3.0,34.0,8.5
49941,3.0,2.0,1.0,4.0,27.0,10.0
49942,5.0,2.0,0.0,3.5,30.0,10.5
49943,4.0,3.5,1.0,4.0,29.0,12.5
49944,3.0,2.5,0.0,3.5,31.0,9.0
49945,4.0,2.5,1.0,4.0,36.0,11.5
49946,3.0,2.5,1.5,2.0,48.0,9.0
49947,3.5,3.0,1.0,2.5,33.0,10.0
49948,3.0,2.5,1.0,1.5,47.0,8.0
49949,4.0,2.0,0.0,1.0,23.0,7.0
49950,3.5,3.5,1.0,3.5,26.0,11.5
49951,5.0,2.5,0.0,2.0,33.0,9.5
49952,3.5,3.5,1.0,4.0,47.0,12.0
49953,5.0,2.5,0.5,1.5,45.0,9.5
49954,4.0,2.5,1.5,4.0,50.0,12.0
49955,3.0,3.5,0.5,2.5,41.0,9.5
49956,3.0,3.0,1.0,3.5,31.0,10.5
49957,4.5,2.0,1.5,3.5,29.0,11.5
49958,4.5,2.5,1.0,1.5,33.0,9.5
49959,4.5,3.5,1.0,3.5,46.0,12.5
49960,4.5,3.0,1.5,2.5,25.0,11.5
49961,3.0,3.5,0.5,2.0,31.0,9.0
49962,3.5,2.0,0.5,2.0,28.0,8.0
49963,4.0,3.5,0.0,3.0,41.0,10.5
49964,4.0,2.5,1.5,1.0,42.0,9.0
49965,5.0,2.5,1.0,3.0,40.0,11.5
49966,3.0,2.0,0.0,2.5,44.0,7.5
49967,5.0,2.0,0.0,3.0,49.0,10.0
49968,5.0,3.5,0.0,3.5,33.0,12.0
49969,3.0,3.5,0.0,1.5,39.0,8.0
49970,3.0,3.5,0.0,1.5,39.0,8.0
49971,4.0,3.0,1.5,3.0,25.0,11.5
49972,3.0,3.0,1.5,2.0,40.0,9.5
49973,4.0,3.5,1.0,3.5,49.0,12.0
49974,3.0,2.0,0.0,4.0,49.0,9.0
49975,5.5,2.5,1.5,3.5,50.0,13.0
49976,3.0,2.0,0.5,2.0,44.0,7.5
49977,4.5,2.5,0.5,3.5,24.0,11.0
49978,3.0,2.0,0.0,4.0,25.0,9.0
49979,5.0,2.5,0.5,2.0,27.0,10.0
49980,4.5,3.5,1.5,1.0,37.0,10.5
49981,4.5,2.5,0.5,2.5,34.0,10.0
49982,3.5,2.0,1.5,4.0,31.0,11.0
49983,5.5,2.5,0.0,1.0,42.0,9.0
49984,4.0,2.0,0.5,1.0,23.0,7.5
49985,4.0,3.0,1.5,2.0,40.0,10.5
49986,5.5,3.5,0.5,1.5,39.0,11.0
49987,3.5,3.0,0.5,2.5,37.0,9.5
49988,5.0,2.5,1.5,3.5,41.0,12.5
49989,4.5,2.0,0.0,2.5,41.0,9.0
49990,5.0,3.5,0.0,1.0,26.0,9.5
49991,4.0,2.0,1.0,3.5,49.0,10.5
49992,5.0,3.5,0.5,3.5,24.0,12.5
49993,5.5,2.0,1.0,2.5,26.0,11.0
49994,4.0,2.0,0.5,3.0,46.0,9.5
49995,3.5,3.0,0.5,3.0,31.0,10.0
49996,4.0,2.0,0.0,3.5,27.0,9.5
49997,5.5,2.0,0.5,1.5,49.0,9.5
49998,5.5,3.5,1.5,1.5,27.0,12.0
49999,5.0,2.5,1.0,1.0,35.0,9.5
50000,4.0,3.0,1.0,1.0,35.0,9.0
50001,4.5,2.5,1.0,3.0,47.0,11.0
50002,4.5,3.0,1.5,1.5,50.0,10.5
50003,4.5,2.0,0.5,2.0,37.0,9.0
50004,3.0,3.0,0.0,2.5,37.0,8.5
50005,3.5,3.0,0.0,2.0,35.0,8.5
50006,5.5,2.0,1.5,3.0,45.0,12.0
50007,4.5,3.0,0.5,2.0,50.0,10.0
50008,3.0,2.5,1.0,2.0,48.0,8.5
50009,4.5,2.0,0.0,3.0,34.0,9.5
50010,3.0,2.5,1.5,1.5,42.0,8.5
50011,3.0,2.0,0.0,4.0,32.0,9.0
50012,5.0,2.5,0.0,1.0,38.0,8.5
50013,5.5,3.0,0.0,3.0,41.0,11.5
50014,4.0,2.0,1.5,2.5,28.0,10.0
50015,3.5,3.5,0.5,4.0,45.0,11.5
50016,5.0,3.0,0.5,2.5,48.0,11.0
50017,4.5,2.0,1.5,1.5,23.0,9.5
50018,3.0,3.0,0.5,3.0,42.0,9.5
50019,4.5,2.5,0.5,4.0,49.0,11.5
50020,4.0,2.0,0.5,1.0,30.0,7.5
50021,5.0,3.5,1.5,1.5,24.0,11.5
50022,3.5,2.5,0.5,4.0,29.0,10.5
50023,5.5,3.0,1.5,3.5,36.0,13.5
50024,5.0,2.5,1.0,3.0,27.0,11.5
50025,4.0,2.0,1.5,2.0,26.0,9.5
50026,5.0,3.5,1.5,2.0,31.0,12.0
50027,3.0,2.0,0.5,2.5,46.0,8.0
50028,4.0,3.5,1.0,1.0,29.0,9.5
50029,4.0,3.5,0.5,1.0,35.0,9.0
50030,4.5,2.5,0.5,2.0,33.0,9.5
50031,4.5,2.5,0.5,1.5,34.0,9.0
50032,5.5,2.5,0.0,4.0,28.0,12.0
50033,4.0,2.0,1.5,1.0,31.0,8.5
50034,3.0,3.5,0.5,1.5,45.0,8.5
50035,4.5,3.0,1.5,1.5,33.0,10.5
50036,4.0,3.5,0.5,3.5,34.0,11.5
50037,5.5,2.5,0.0,2.5,24.0,10.5
50038,5.0,2.5,0.0,4.0,28.0,11.5
50039,5.0,3.5,0.5,2.0,33.0,11.0
50040,4.5,3.5,0.5,3.0,50.0,11.5
50041,4.5,2.5,0.0,1.5,50.0,8.5
50042,4.5,3.0,0.5,2.0,26.0,10.0
50043,4.0,2.5,0.0,3.0,31.0,9.5
50044,4.0,2.5,0.5,2.5,34.0,9.5
50045,5.0,2.5,0.5,1.5,45.0,9.5
50046,3.0,3.0,0.5,3.5,46.0,10.0
50047,4.0,2.0,1.0,1.0,37.0,8.0
50048,4.0,2.5,0.5,4.0,27.0,11.0
50049,3.0,3.0,1.5,1.5,34.0,9.0
50050,5.0,2.5,1.5,1.0,50.0,10.0
50051,4.5,3.0,1.5,2.0,34.0,11.0
50052,5.0,2.5,0.5,2.0,44.0,10.0
50053,5.0,3.0,0.5,3.5,31.0,12.0
50054,5.5,3.0,0.0,1.5,46.0,10.0
50055,4.5,3.0,1.0,2.5,34.0,11.0
50056,5.5,2.5,0.5,3.5,34.0,12.0
50057,3.5,2.0,0.0,1.0,39.0,6.5
50058,4.0,3.5,1.5,3.5,43.0,12.5
50059,4.0,2.5,0.0,3.5,29.0,10.0
50060,4.0,3.0,0.0,2.5,40.0,9.5
50061,5.5,3.5,1.5,3.0,23.0,13.5
50062,5.0,3.5,1.0,1.0,44.0,10.5
50063,4.0,3.0,1.0,3.5,25.0,11.5
50064,5.5,3.5,0.5,2.5,33.0,12.0
50065,3.0,2.0,0.5,1.0,45.0,6.5
50066,5.5,2.5,1.0,4.0,44.0,13.0
50067,3.5,3.0,0.5,3.5,29.0,10.5
50068,5.5,3.5,0.0,3.5,44.0,12.5
50069,5.5,3.0,0.5,3.5,44.0,12.5
50070,5.5,3.5,0.0,2.5,42.0,11.5
50071,4.5,2.5,0.0,4.0,48.0,11.0
50072,5.5,2.5,0.5,2.5,48.0,11.0
50073,5.5,3.5,0.5,1.5,26.0,11.0
50074,4.5,2.5,1.0,2.5,49.0,10.5
50075,5.5,3.5,0.5,1.0,31.0,10.5
50076,5.5,3.0,0.0,2.5,46.0,11.0
50077,5.5,3.5,0.5,3.0,44.0,12.5
50078,5.0,3.0,1.0,1.0,39.0,10.0
50079,4.0,2.5,0.0,1.0,50.0,7.5
50080,3.5,2.0,1.5,3.5,49.0,10.5
50081,5.5,3.0,0.5,3.0,35.0,12.0
50082,3.0,3.0,0.0,1.5,27.0,7.5
50083,5.5,2.0,0.5,2.0,47.0,10.0
50084,5.0,2.0,1.5,1.0,28.0,9.5
50085,5.5,3.5,1.5,3.5,46.0,14.0
50086,5.5,2.5,0.5,1.0,32.0,9.5
50087,4.0,2.5,0.5,3.5,40.0,10.5
50088,3.5,2.5,0.5,2.0,33.0,8.5
50089,5.0,2.5,0.0,2.5,29.0,10.0
50090,3.5,3.5,0.5,4.0,50.0,11.5
50091,4.5,2.5,1.5,3.5,50.0,12.0
50092,4.5,3.5,1.5,2.5,44.0,12.0
50093,4.5,3.5,0.5,1.5,48.0,10.0
50094,3.0,2.5,0.5,3.0,39.0,9.0
50095,4.0,3.0,0.5,2.0,42.0,9.5
50096,3.0,2.0,0.0,1.5,43.0,6.5
50097,3.5,3.0,1.5,3.5,39.0,11.5
50098,5.5,3.0,0.0,3.0,25.0,11.5
50099,3.5,2.5,1.0,3.5,26.0,10.5
50100,5.5,2.0,0.5,2.5,40.0,10.5
50101,5.5,3.0,0.0,1.5,34.0,10.0
50102,5.0,3.0,0.5,2.0,31.0,10.5
50103,5.5,3.0,0.0,3.5,30.0,12.0
50104,3.0,2.0,1.5,2.5,46.0,9.0
50105,4.5,2.0,1.0,4.0,23.0,11.5
50106,5.5,2.5,1.5,2.5,48.0,12.0
50107,5.0,2.0,0.5,3.5,49.0,11.0
50108,3.0,2.0,0.0,2.0,33.0,7.0
50109,4.5,2.5,1.0,1.0,41.0,9.0
50110,5.0,3.5,1.0,3.0,27.0,12.5
50111,3.5,3.0,0.5,2.5,26.0,9.5
50112,3.0,3.0,1.5,4.0,40.0,11.5
50113,3.5,2.5,1.5,4.0,48.0,11.5
50114,3.0,3.0,0.0,4.0,50.0,10.0
50115,4.5,3.0,0.5,1.5,45.0,9.5
